Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
71,CCAFS,Starlink,"13,620 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5B1049.3,Success,24 May 2019,
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,"<a href=""/wiki/Canadian_Space_Agency"" title=""Canadian Space Agency"">Canadian Space Agency</a>",['<'],F9 B5B1051.2,Success,12 June 2019,
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 B5B1056.2,Success,25 July 2019,
74,CCAFS,AMOS-17,"6,500 kg",GTO,"<a href=""/wiki/Spacecom"" title=""Spacecom"">Spacecom</a>",['<'],F9 B5B1047.3,Not attempted,6 August 2019,
75,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/Spacecom"" title=""Spacecom"">SpaceX</a>",['<'],F9 B5,Success,11 November 2019,
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 B5,Success,5 December 2019,
77,CCAFS,JCSat-18,"6,956 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">Sky Perfect JSAT</a>",['<'],F9 B5B1056.3,Success,17 December 2019,
78,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5,Success,7 January 2020,
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 B5,"Not attempted
",19 January 2020,
80,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5,Success,29 January 2020,
81,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5,Failure,17 February 2020,
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 B5,Success,7 March 2020,
83,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5,Failure,18 March 2020,
84,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5,Success,22 April 2020,
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",['<'],F9 B5,Success,30 May 2020,
86,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5,Success,4 June 2020,
87,CCAFS,Starlink,"15,410 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5,Success,13 June 2020,
88,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">U.S. Space Force</a>",['<'],F9 B5,Success,30 June 2020,
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,"<a href=""/wiki/Republic_of_Korea_Army"" title=""Republic of Korea Army"">Republic of Korea Army</a>",['<'],F9 B5B1058.2,Success,20 July 2020,
90,KSC,Starlink,"14,932 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5,Success,7 August 2020,
91,CCAFS,Starlink,"~15,440 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5B1049.6,Success,18 August 2020,
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,"<a class=""mw-redirect"" href=""/wiki/CONAE"" title=""CONAE"">CONAE</a>",['<'],F9 B5,Success,30 August 2020,
93,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5B1060.2,Success,3 September 2020,
94,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5B1058.3,Success,6 October 2020,
95,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5B1051.6,Success,18 October 2020,
96,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",['<'],F9 B5,Success,24 October 2020,
